en,ja
afford,を持つ［する］余裕がある；を与える
conclude,と結論づける；を締めくくる；を締結する
advertise,を宣伝する；(～を求める)広告を出す(for)
encounter,に遭遇する；に(思いがけず)出会う
remind,に思い出させる
locate,〔受身形で〕位置する；の位置を探し当てる
aid,を援助する，助ける
bite,(を)かむ，(に)かみつく；(を)刺す
deliver,を配達する；(演説・講義)をする；子を産む
perceive,に気づく；を知覚する；を理解する
distinguish,を区別する
imply,を暗に意味する；を必然的に伴う
handle,を処理する，扱う；を論じる；を商う
praise,を(～のことで)賞賛する(for)；賛美する
appeal,訴える；抗議する；(上級審に)上訴する
insist,(を)強く主張する；要求する
compete,競う；〔通例否定文で〕(～に)匹敵する(with)
rank,を位置づける，評価する；(ある地位に)位置する
deny,を否定する；を拒む
reject,を拒否する
intend,を意図する
expose,をさらす；を暴露する；を露出する
favor,に賛成する；を好む；をひいきする
inspire,(人)を奮起させる；を喚起する
propose,を提案する；をもくろむ；結婚を申し込む
spell,(語)をつづる；という語になる
breathe,呼吸する；を吸う
repair,を修理する；を修復する
consist,(～から)成る(of)；(～に)ある(in)
comment,意見，コメント；批判
instruction,〔通例～s〕指示；〔～s〕(製品の)使用書
religion,宗教；信条；信仰(心)
neighborhood,地域；近所
laboratory,実験室，研究室
presence,存在；出席；面前
confidence,自信；信頼；秘密
harm,害，損害
instrument,器具；楽器
category,部類，区分；範疇
capital,資本；首都；大文字
outcome,結果；成果
notion,概念，観念；見解；意向
review,(書物などの)論評；再調査；【米】復習
trait,特性
diversity,多様性；相違点
victim,犠牲(者)，被害者
occasion,場合，時；行事；機会
facility,施設，設備；機能；才能
stock,在庫品；蓄え；株
conference,会議；協議
humanity,人類；人間性；人情；〔(the) ～s〕人文科学
dialect,方言
proportion,割合；部分；釣り合い
tip,助言，秘訣；チップ；先端
lawyer,弁護士
stuff,(漠然と)物；素材；素質
comfort,快適さ；慰め
philosophy,哲学；原理；人生観
mammal,哺乳動物
quantity,量；分量
landscape,風景；領域；状況
tribe,部族；仲間
organ,器官，臓器；組織；(パイプ)オルガン
trial,試み，(品質・性能などの)試験；裁判；試用期間
norm,規範；標準
code,規範；暗号；法典
substance,物質；実体；趣旨
multiple,多様な；種々雑多な
numerous,非常に数の多い
narrow,狭い；細い；限られた
widespread,広範囲にわたる；広く普及した
sufficient,(～に；…するのに)十分な(for；to do)
proper,適切な；正式の；〔名詞の後ろで〕主要な；(～に)固有の(to)
linguistic,言語の，言語学の
annual,年1回の，例年の；1年間の
contemporary,現代の；同時代の；同年輩の
contrary,(～と)反対の(to)
strict,(規則などが)厳しい；厳格な
civil,市民の；民間の；民事の
odd,奇妙な；奇数の
unknown,不明の；(～に)知られていない(to)，無名の
superior,よりすぐれた
sensitive,敏感な；神経質な；微妙な
violent,(人・気質などが)激しい；暴力的な
virtual,仮想の；事実上の
regardless,(～に)かまわない，無頓着な(of)
immediate,即座の；当面の；すぐそばの；直接の
crucial,重要な
somewhat,いくぶん，多少
interpret,を解釈する；(を)通訳する
translate,を翻訳する；を(～に)変える(into)
concentrate,(を)集中する
request,に(…するように)頼む(to do)；を要請する
criticize,を批判する；を批評する
overcome,を克服する
obtain,を得る
inform,に知らせる；情報を提供する
ensure,を確実にする；を守る
announce,を発表［公表］する，知らせる；(物事が)を告げる
grant,(人)に(許可・権利など)を与える；を認める
freeze,凍る；を凍らせる；(計画・資金など)を凍結する
oppose,に反対する；を対抗［対比］させる
differ,異なる
hate,をひどく嫌う；を残念に思う
emphasize,を強調する；を重視する
employ,を雇う；を使う
credit,(功績など)を(～に)帰する(to)；を信じる
transform,を変える；変わる
construct,を建設する；を構成する
arise,生じる
beat,を打ち負かす；(を)打つ，たたく
regret,を後悔する
alter,を変える；変わる
absorb,を吸収する；を併合する；を夢中にさせる
disappoint,を失望させる；(希望など)をくじく
cure,を治す；を取り除く；(病気が)治る
transport,を輸送する；を運ぶ
rush,急いで行く；性急に行動する；をせき立てる
hang,を掛ける；を絞首刑にする；垂れ(下が)る
blame,を責める；の責任を負わせる
ban,を(法的に)禁止する；を締め出す
fascinate,を魅了する
recover,回復する；を取り戻す
celebrate,を祝う；を挙行する
manufacture,を製造する；をでっち上げる
interact,影響し合う；相互に作用する
arrange,の段取りをつける；を手配する；を配置する
adjust,を調整する；を適合させる；順応する
confirm,を確認する；を裏づける
insight,見識，理解(力)；洞察力
innovation,革新；新機軸
budget,予算；経費
fee,料金；謝礼
expense,〔～s〕経費；費用；犠牲
debt,借金，負債；恩義
loan,貸付金，融資；貸すこと
duty,義務；〔しばしば～s〕職務；関税
alarm,不安，恐れ；警報装置
emergency,緊急(事態)
democracy,民主主義，民主政治；民主国家
minister,大臣；(プロテスタント系の)聖職者
fellow,仲間，同僚；同級生；男
candidate,(～の)候補(者)(for)；志願者
corporation,(大)企業；法人
stereotype,固定観念；決まり文句
route,道(筋)；路線，ルート；(～の)手段(to)
disorder,障害，(心身の)不調；混乱
depression,憂うつ；うつ病；不況；低気圧
weapon,兵器，武器
immigration,(他国からの)移民，移住；入国管理
barrier,(～に対する)障壁(against / to)；防壁
disadvantage,不利(な点)；障害；(信用などの)損失
mood,気分；機嫌；雰囲気
motion,動き，動作；運動；動議
routine,決まり切った仕事；いつもの手順
discipline,規律，しつけ；訓練；懲戒；学問分野
myth,作り話；神話
hypothesis,仮説；憶測
physician,【主に米】 医師；内科医
client,顧客；(弁護士などの)依頼人
colony,植民地；集団居住地
statistics,統計；統計学
grain,穀物；粒；きめ
ingredient,材料，成分；(成功の)要因
treasure,宝物，財宝；財産
contract,契約(書)；協定
welfare,福祉，幸福
prime,主要な，最も重要な；最適な；極上の
curious,好奇心の強い；奇妙な
dramatic,劇的な；演劇の
distinct,明らかに異なる；明瞭な
anxious,心配して；切望して
vital,必要不可欠な；活気のある；生命にかかわる
conventional,従来の；月並みな
abstract,抽象的な
minor,重要でない；小さい
extraordinary,並はずれた；異常な，驚くべき
stable,安定した；動じない
flexible,融通の利く，柔軟な
brief,簡潔な；短い
aggressive,攻撃的な；意欲的な
visible,(目に)見える；明白な
unexpected,思いがけない，不意の
ethnic,民族の，人種の；民族特有の
alien,(～にとって)異質の(to)；外国の；宇宙人の
initial,初めの
exact,正確な；まさにその
precise,正確な；精密な；まさにその
latter,後者の，後半の
commit,〔＋oneselfまたは受身形で〕献身する；(罪など)を犯す；を投入する
stimulate,を刺激する
enhance,(価値など)を高める，増す
pursue,を追求する；に従事する
react,反応する；化学反応を起こす
disagree,不賛成である；意見が食い違う
stare,じっと見る；を見つめる
abandon,を捨てる；を放棄する，断念する
quit,をやめる；(場所)を去る
capture,をとらえる；をとりこにする
transfer,を移す；を伝える；移る；乗り換える
bother,を悩ます；(～を)気にかける(about / with)
persuade,を説得する；に確信させる
rent,を賃借りする；を賃貸しする
breed,を繁殖させる，育てる；繁殖する
invest,(を)投資する；に(～を)与える(with)
reserve,を予約する；を取っておく；(判断など)を保留する
trace,(足跡・起源など)をたどる；を捜し出す
illustrate,を説明する；に挿絵を入れる
advise,に忠告［助言］する；(を)助言する
convey,を伝える；を運ぶ，運搬する
attach,を(取り)付ける；を付与する
stretch,を伸ばす；を広げる；伸びる；及ぶ
puzzle,を当惑させる
disturb,をかき乱す；を妨害する；を動揺させる
crash,衝突する，墜落する；をぶつけて壊す
cope,うまく処理する
permit,を許可する
impress,を感動させる；に印象を与える
suspect,ではないかと思う；(人)を疑う
upset,を動揺させる；をだめにする
frighten,(人)を怖がらせる
import,を輸入する；を取り込む
export,(を)輸出する
investigate,を調査する；を究明する；(～を)調査する(into)
monitor,を監視する；を傍受する
calculate,を計算する；を予測する
eliminate,を取り除く
ease,を軽減する；和らぐ；緩む
launch,を開始する；を売り出す；を発射する
sequence,連続；一連(のもの)
therapy,療法；心理療法
symptom,症状；兆候
incident,出来事，事件；紛争
witness,目撃者；証人；証拠，証言
sum,(金)額；合計；要点
burden,負担；(重い)義務；積み荷
tone,口調；音色；雰囲気；色調
honor,光栄；名誉；敬意
award,(～の)賞(for)；(証書などの)授与
priority,優先(事項)
logic,論理；道理；論理学
minimum,最小限度
exception,(～の)例外(to)
clue,(～の)手がかり(to / about)；(パズルの)ヒント
bond,絆；債券；束縛；接着剤
virus,ウイルス；(感染症の)病原体
surgery,(外科)手術；外科，外科医学
insurance,保険；保険料；保険金
frame,枠，(額)縁；骨組み；体格
shelter,避難(所)，保護
territory,領土；(活動の)領域；(動物の)テリトリー
boundary,境界(線)；〔通例～s〕限界
habitat,生息地；(人の)居住地
district,地区；行政区
conservation,(動植物などの)保護；保存
harvest,収穫(物)；収穫期；漁獲高
predator,捕食動物；略奪者
trap,わな；苦境
trick,こつ；策略；いたずら；芸当
fault,〔通例one’s ～〕責任；欠点；誤り
discount,割引
bias,偏見；傾向
cooperation,協力，共同
patent,特許(権)；特許品
dialogue,対話，会話；意見の交換
component,構成要素；部品
reputation,評判；名声
verbal,言葉の；口頭での；動詞の
internal,内部の；国内の；内面的な
solid,しっかりした；硬い；固体の
remote,(～から)遠く離れた(from)；かけ離れた
principal,主要な；資本金の
sophisticated,高性能の，精巧な；洗練された
equivalent,等しい，相当する
rational,理性的な；合理的な
relevant,関係がある；適切な
absolute,絶対的な
frequent,頻繁な
permanent,永続的な
intense,強烈な；熱烈な
meaningful,意味のある
evil,邪悪な；有害な
extinct,絶滅した；廃止された
random,無作為の；手当たり次第の
raw,生の；未加工の
rude,無礼な；粗野な
mere,単なる，ほんの
tropical,熱帯の
forth,前へ，先へ；それ以降
possess,を所有している；の心をとらえる
dominate,を支配する；(～より)優勢である(over)
guarantee,を保証する
melt,溶ける；なごむ；を溶かす
embarrass,に恥ずかしい思いをさせる
discourage,(人)にやる気をなくさせる；を落胆させる
detect,を感知する；を見つけ出す；に気づく
devote,をささげる
urge,に(強く)促す；を強く主張する；を駆り立てる
lend,を貸す；(人)に(助言・援助など)を与える
restrict,を制限する
isolate,を孤立させる
accompany,に同行する；に付随する
exhaust,を疲れ果てさせる；を使い尽くす；排気する
annoy,を悩ます；〔受身形で〕腹が立つ
endanger,を危険にさらす
acknowledge,(事実など)を認める；に謝意を表す
admire,に(～のことで)敬服［感心］する(for)
evaluate,を評価する；を査定する
declare,を宣言する；を申告する
secure,を確保する；を守る
specialize,専門とする；【英】(～を)専攻する(in)
attribute,(結果など)を(～に)帰する(to)
pretend,(の)ふりをする
bury,を埋める；を埋葬する；を隠す
reverse,を逆転させる；を反対にする
resist,に抵抗する；〔通例否定文で〕を我慢する
scare,をおびえさせる；を脅す
imitate,をまねる；を模造する
assist,(を)援助する；を手伝う
resemble,に似ている
retire,(～から)引退する，退職する(from)；退く
neglect,をおろそかにする，怠る；を無視する
collapse,崩壊する；(人が)倒れる；を折り畳む
reform,を改革する；を改心させる
protest,(に)抗議する；を主張する
owe,に借りがある；のおかげである
sustain,を持続させる；を支える
assign,を割り当てる；を(～に)配属する(to)
accomplish,を成し遂げる
wisdom,知恵；賢明さ；学識
literacy,読み書きの能力；(特定分野の)知識
heritage,遺産
mission,使命；(外交)使節団；布教
license,免許(証)；許可
elite,〔通例the ～〕〔集合的に〕エリート
layer,層
motor,モーター；原動力
protein,たんぱく質
profession,職業；専門職；同業者仲間
editor,編集者；編集長
agent,仲介者，代理人；薬剤
globe,地球；世界；球
haven,避難所，保護区；港
row,列；(建物が並ぶ)通り
sacrifice,犠牲；いけにえ
means,〔単数・複数扱い〕手段；〔複数扱い〕資力，収入
session,集まり；(議会の)会期；(開会中の)議会
league,(競技)連盟；同盟
contest,コンテスト，競技(会)；争い
guard,警備員；警備隊；監視，警戒
opponent,(試合・論争などの)相手；反対者
glance,(～を)ちらっと見ること(at)
divorce,離婚；分離
tissue,(生物の)組織；ティッシュペーパー
liquid,液体
inequality,不平等；不公平な事柄
prejudice,(～に対する)偏見(against)
justice,公正，正義；司法
guideline,指針，ガイドライン；指導基準
platform,プラットフォーム；演壇；舞台
sector,(社会・経済などの)部門，セクター；(都市内の)地域
channel,チャンネル；伝達経路；海峡
glacier,氷河
primate,霊長目の動物
usage,(使)用法；語法；習慣
fortune,財産；幸運；運命
correlation,相互関係，相関(関係)
artistic,芸術的な
literary,文学の；文語の
classic,第一級の；典型的な；定番の
liberal,自由主義の；寛大な；一般教養の
concrete,具体的な；有形の
slight,わずかな；取るに足らない
federal,連邦(政府)の
primitive,原始的な；未開の
unfamiliar,(～に)不慣れな(with)；(～に)(よく)知られていない(to)
subtle,微妙な；(気体などが)希薄な
plain,明らかな；平易な；飾りのない；率直な
marine,海の；船舶の
apparent,明白な；一見～らしい
reluctant,気が進まない，嫌がる
temporary,一時的な
guilty,罪悪感のある；(～について)有罪の(of)
royal,王の
pure,純粋な；潔白な；まったくの
incredible,信じられない；すばらしい
eager,(～を)熱望して(for)；熱心な
adequate,十分な；適切な
